"Code";"Name";"Age groups";"Sex";"Value and precision";"Year";"Value";"Measure Unit";"Attribute";
0000000;"POLAND";"20-64";"males";"numerical data";"2002";63.2;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2003";62.8;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2004";63.2;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2005";64.8;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2006";67.3;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2007";70.2;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2008";73.0;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2009";72.6;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2010";71.3;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2011";71.9;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2012";72.0;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2013";72.1;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2014";73.6;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2015";74.7;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2016";76.4;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2017";78.2;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2018";79.4;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2019";80.7;"%";"";
0000000;"POLAND";"20-64";"males";"numerical data";"2020";81.4;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1995";57.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1996";57.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1997";57.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1998";57.8;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"1999";55.5;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2000";54.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2001";52.9;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2002";51.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2003";51.1;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2004";51.1;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2005";51.4;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2006";53.1;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2007";55.5;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2008";57.3;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2009";57.6;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2010";57.3;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2011";57.2;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2012";57.5;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2013";57.6;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2014";59.4;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2015";60.9;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2016";62.3;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2017";63.6;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2018";65.0;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2019";65.3;"%";"";
0000000;"POLAND";"20-64";"females";"numerical data";"2020";65.7;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"1995";60.1;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"1996";60.5;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"1997";60.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"1998";62.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"1999";60.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2000";57.4;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2001";54.1;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2002";52.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2003";51.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2004";51.9;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2005";54.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2006";57.9;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2007";59.9;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2008";61.9;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2009";62.8;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2010";62.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2011";62.1;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2012";62.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2013";62.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2014";65.5;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2015";67.7;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2016";70.0;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2017";70.7;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2018";72.4;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2019";74.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"total";"numerical data";"2020";75.1;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"1995";67.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"1996";68.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"1997";69.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"1998";70.1;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"1999";68.7;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2000";64.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2001";60.4;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2002";57.1;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2003";56.0;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2004";57.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2005";60.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2006";64.7;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2007";68.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2008";70.9;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2009";69.9;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2010";68.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2011";68.1;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2012";68.9;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2013";69.7;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2014";72.7;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2015";75.4;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2016";77.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2017";78.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2018";79.0;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2019";80.8;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"males";"numerical data";"2020";81.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"1995";53.0;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"1996";53.1;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"1997";52.4;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"1998";54.7;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"1999";52.9;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2000";50.8;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2001";48.0;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2002";48.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2003";46.4;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2004";46.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2005";48.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2006";51.0;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2007";51.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2008";53.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2009";55.9;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2010";56.0;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2011";56.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2012";55.6;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2013";55.8;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2014";58.5;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2015";60.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2016";62.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2017";63.2;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2018";65.8;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2019";68.3;"%";"";
0200000;"DOLNOŚLĄSKIE";"20-64";"females";"numerical data";"2020";69.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"1995";61.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"1996";62.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"1997";63.6;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"1998";63.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"1999";61.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2000";58.8;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2001";57.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2002";56.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2003";55.8;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2004";55.8;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2005";56.5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2006";56.5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2007";59.2;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2008";61.2;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2009";62.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2010";61.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2011";62.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2012";63.5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2013";63.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2014";64.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2015";65.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2016";66.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2017";68.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2018";70.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2019";70.8;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"total";"numerical data";"2020";71.3;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"1995";69.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"1996";70.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"1997";72.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"1998";72.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"1999";68.5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2000";66.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2001";65.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2002";62.2;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2003";62.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2004";62.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2005";64.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2006";64.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2007";67.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2008";71.8;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2009";71.6;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2010";69.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2011";70.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2012";72.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2013";72.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2014";73.6;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2015";74.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2016";74.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2017";76.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2018";79.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2019";80.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"males";"numerical data";"2020";80.3;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"1995";54.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"1996";54.8;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"1997";55.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"1998";55.5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"1999";53.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2000";51.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2001";51.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2002";49.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2003";49.3;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2004";49.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2005";49.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2006";49.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2007";51.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2008";51.1;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2009";53.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2010";53.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2011";53.5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2012";55.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2013";53.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2014";55.5;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2015";57.7;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2016";58.9;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2017";59.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2018";61.0;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2019";61.4;"%";"";
0400000;"KUJAWSKO-POMORSKIE";"20-64";"females";"numerical data";"2020";62.3;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"1995";70.2;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"1996";70.5;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"1997";70.0;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"1998";69.7;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"1999";64.2;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2000";64.4;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2001";63.4;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2002";61.9;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2003";61.8;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2004";60.0;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2005";61.5;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2006";63.4;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2007";66.1;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2008";64.9;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2009";64.6;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2010";64.9;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2011";65.2;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2012";65.8;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2013";65.8;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2014";66.2;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2015";66.8;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2016";67.3;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2017";68.1;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2018";69.7;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2019";69.8;"%";"";
0600000;"LUBELSKIE";"20-64";"total";"numerical data";"2020";70.5;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"1995";74.2;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"1996";74.7;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"1997";75.1;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"1998";74.5;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"1999";69.4;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2000";68.3;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2001";68.0;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2002";66.8;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2003";66.1;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2004";64.1;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2005";66.4;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2006";68.4;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2007";71.3;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2008";71.0;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2009";70.9;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2010";70.7;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2011";70.5;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2012";71.1;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2013";71.8;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2014";72.1;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2015";72.1;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2016";73.5;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2017";74.8;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2018";76.3;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2019";76.5;"%";"";
0600000;"LUBELSKIE";"20-64";"males";"numerical data";"2020";77.7;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"1995";66.2;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"1996";66.6;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"1997";65.2;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"1998";64.9;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"1999";59.0;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2000";60.6;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2001";59.0;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2002";57.1;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2003";57.5;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2004";55.6;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2005";56.3;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2006";58.3;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2007";61.1;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2008";59.0;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2009";58.3;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2010";58.9;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2011";59.7;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2012";60.5;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2013";59.7;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2014";60.1;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2015";61.3;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2016";60.8;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2017";61.2;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2018";62.9;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2019";62.8;"%";"";
0600000;"LUBELSKIE";"20-64";"females";"numerical data";"2020";63.1;"%";"";
